Wavelength (nm)	Dark	Wavelength (nm)	Reference	Wavelength (nm)	Sample 1 - 08.11.2019-11:35:13	Wavelength (nm)	Sample 2 - 08.11.2019-11:40:21	Wavelength (nm)	Sample 3 - 08.11.2019-11:45:29
-702.700	9876.000	-702.700	0.000	-702.700	-Inf	-702.700	NaN	-702.700	NaN
-700.700	9905.000	-700.700	0.000	-700.700	NaN	-700.700	NaN	-700.700	NaN
-698.700	9950.000	-698.700	0.000	-698.700	-Inf	-698.700	NaN	-698.700	NaN
-696.700	9955.000	-696.700	0.000	-696.700	-Inf	-696.700	NaN	-696.700	NaN
-694.700	9896.000	-694.700	0.000	-694.700	-Inf	-694.700	NaN	-694.700	NaN
-692.700	9836.000	-692.700	0.000	-692.700	NaN	-692.700	-Inf	-692.700	NaN
-690.700	9841.000	-690.700	0.000	-690.700	-Inf	-690.700	NaN	-690.700	NaN
-688.700	9832.000	-688.700	0.000	-688.700	-Inf	-688.700	NaN	-688.700	NaN
-686.700	9959.000	-686.700	0.000	-686.700	NaN	-686.700	NaN	-686.700	NaN
-684.700	9912.000	-684.700	0.000	-684.700	-Inf	-684.700	-Inf	-684.700	NaN
-682.700	9956.000	-682.700	0.000	-682.700	NaN	-682.700	NaN	-682.700	NaN
-680.700	9993.000	-680.700	0.000	-680.700	-Inf	-680.700	-Inf	-680.700	NaN
-678.700	9916.000	-678.700	0.000	-678.700	-Inf	-678.700	NaN	-678.700	NaN
-676.700	9903.000	-676.700	0.000	-676.700	-Inf	-676.700	NaN	-676.700	NaN
-674.700	9912.000	-674.700	0.000	-674.700	-Inf	-674.700	NaN	-674.700	-Inf
-672.700	9896.000	-672.700	0.000	-672.700	-Inf	-672.700	NaN	-672.700	NaN
-670.700	9879.000	-670.700	5.000	-670.700	-0.146	-670.700	-0.778	-670.700	NaN
-668.700	9947.000	-668.700	0.000	-668.700	NaN	-668.700	-Inf	-668.700	NaN
-666.700	9842.000	-666.700	0.000	-666.700	-Inf	-666.700	NaN	-666.700	NaN
-664.600	9952.000	-664.600	0.000	-664.600	NaN	-664.600	NaN	-664.600	NaN
-662.600	9925.000	-662.600	0.000	-662.600	-Inf	-662.600	NaN	-662.600	NaN
-660.600	9915.000	-660.600	0.000	-660.600	NaN	-660.600	NaN	-660.600	NaN
-658.600	9876.000	-658.600	0.000	-658.600	NaN	-658.600	NaN	-658.600	NaN
-656.600	9906.000	-656.600	0.000	-656.600	-Inf	-656.600	NaN	-656.600	NaN
-654.600	9875.000	-654.600	0.000	-654.600	NaN	-654.600	NaN	-654.600	NaN
-652.600	9873.000	-652.600	0.000	-652.600	-Inf	-652.600	-Inf	-652.600	NaN
-650.600	9802.000	-650.600	0.000	-650.600	-Inf	-650.600	NaN	-650.600	NaN
-648.600	9964.000	-648.600	0.000	-648.600	-Inf	-648.600	NaN	-648.600	NaN
-646.600	9942.000	-646.600	0.000	-646.600	-Inf	-646.600	-Inf	-646.600	NaN
-644.600	9884.000	-644.600	0.000	-644.600	-Inf	-644.600	NaN	-644.600	NaN
-642.600	9829.000	-642.600	0.000	-642.600	NaN	-642.600	NaN	-642.600	NaN
-640.600	9786.000	-640.600	0.000	-640.600	-Inf	-640.600	NaN	-640.600	NaN
-638.600	10014.000	-638.600	0.000	-638.600	NaN	-638.600	NaN	-638.600	NaN
-636.600	9926.000	-636.600	0.000	-636.600	NaN	-636.600	NaN	-636.600	-Inf
-634.600	9799.000	-634.600	30.000	-634.600	0.699	-634.600	NaN	-634.600	0.398
-632.600	9935.000	-632.600	5.000	-632.600	NaN	-632.600	NaN	-632.600	NaN
-630.600	9861.000	-630.600	0.000	-630.600	-Inf	-630.600	NaN	-630.600	NaN
-628.600	9946.000	-628.600	0.000	-628.600	-Inf	-628.600	NaN	-628.600	NaN
-626.600	9909.000	-626.600	0.000	-626.600	-Inf	-626.600	-Inf	-626.600	NaN
-624.600	9929.000	-624.600	0.000	-624.600	-Inf	-624.600	NaN	-624.600	NaN
-622.600	9862.000	-622.600	0.000	-622.600	-Inf	-622.600	NaN	-622.600	NaN
-620.600	9922.000	-620.600	0.000	-620.600	-Inf	-620.600	NaN	-620.600	NaN
-618.600	9858.000	-618.600	0.000	-618.600	-Inf	-618.600	NaN	-618.600	NaN
-616.600	9915.000	-616.600	0.000	-616.600	-Inf	-616.600	NaN	-616.600	NaN
-614.600	9854.000	-614.600	0.000	-614.600	-Inf	-614.600	NaN	-614.600	NaN
-612.600	9968.000	-612.600	0.000	-612.600	NaN	-612.600	NaN	-612.600	NaN
-610.600	9917.000	-610.600	0.000	-610.600	NaN	-610.600	NaN	-610.600	NaN
-608.600	9909.000	-608.600	0.000	-608.600	NaN	-608.600	-Inf	-608.600	NaN
-606.600	9922.000	-606.600	0.000	-606.600	-Inf	-606.600	NaN	-606.600	NaN
-604.600	9938.000	-604.600	0.000	-604.600	NaN	-604.600	NaN	-604.600	-Inf
-602.600	9881.000	-602.600	0.000	-602.600	-Inf	-602.600	NaN	-602.600	NaN
-600.500	9978.000	-600.500	0.000	-600.500	NaN	-600.500	NaN	-600.500	NaN
-598.500	9819.000	-598.500	0.000	-598.500	-Inf	-598.500	NaN	-598.500	NaN
-596.500	9882.000	-596.500	0.000	-596.500	-Inf	-596.500	NaN	-596.500	NaN
-594.500	9863.000	-594.500	0.000	-594.500	NaN	-594.500	NaN	-594.500	NaN
-592.500	10122.000	-592.500	0.000	-592.500	NaN	-592.500	-Inf	-592.500	-Inf
-590.500	9866.000	-590.500	0.000	-590.500	NaN	-590.500	NaN	-590.500	NaN
-588.500	9929.000	-588.500	0.000	-588.500	-Inf	-588.500	-Inf	-588.500	-Inf
-586.500	9912.000	-586.500	0.000	-586.500	-Inf	-586.500	NaN	-586.500	NaN
-584.500	9924.000	-584.500	0.000	-584.500	-Inf	-584.500	NaN	-584.500	NaN
-582.500	9903.000	-582.500	0.000	-582.500	-Inf	-582.500	NaN	-582.500	-Inf
-580.500	9933.000	-580.500	0.000	-580.500	NaN	-580.500	NaN	-580.500	NaN
-578.500	9812.000	-578.500	0.000	-578.500	NaN	-578.500	NaN	-578.500	-Inf
-576.500	9943.000	-576.500	0.000	-576.500	NaN	-576.500	NaN	-576.500	NaN
-574.500	9953.000	-574.500	0.000	-574.500	-Inf	-574.500	NaN	-574.500	NaN
-572.500	9907.000	-572.500	0.000	-572.500	-Inf	-572.500	NaN	-572.500	NaN
-570.500	9856.000	-570.500	0.000	-570.500	-Inf	-570.500	-Inf	-570.500	NaN
-568.500	9854.000	-568.500	0.000	-568.500	NaN	-568.500	NaN	-568.500	NaN
-566.500	9884.000	-566.500	0.000	-566.500	NaN	-566.500	NaN	-566.500	NaN
-564.500	9950.000	-564.500	0.000	-564.500	-Inf	-564.500	NaN	-564.500	NaN
-562.500	9922.000	-562.500	0.000	-562.500	-Inf	-562.500	-Inf	-562.500	NaN
-560.500	9918.000	-560.500	0.000	-560.500	NaN	-560.500	-Inf	-560.500	NaN
-558.500	9863.000	-558.500	0.000	-558.500	-Inf	-558.500	NaN	-558.500	NaN
-556.500	9923.000	-556.500	0.000	-556.500	NaN	-556.500	NaN	-556.500	NaN
-554.500	9906.000	-554.500	2.000	-554.500	NaN	-554.500	NaN	-554.500	NaN
-552.500	9909.000	-552.500	0.000	-552.500	NaN	-552.500	NaN	-552.500	NaN
-550.500	9884.000	-550.500	0.000	-550.500	-Inf	-550.500	NaN	-550.500	NaN
-548.500	9895.000	-548.500	0.000	-548.500	NaN	-548.500	NaN	-548.500	NaN
-546.500	9911.000	-546.500	0.000	-546.500	-Inf	-546.500	NaN	-546.500	NaN
-544.500	9877.000	-544.500	0.000	-544.500	-Inf	-544.500	NaN	-544.500	NaN
-542.500	9803.000	-542.500	0.000	-542.500	-Inf	-542.500	NaN	-542.500	NaN
-540.500	9970.000	-540.500	0.000	-540.500	-Inf	-540.500	NaN	-540.500	NaN
-538.500	9879.000	-538.500	0.000	-538.500	NaN	-538.500	NaN	-538.500	-Inf
-536.500	9959.000	-536.500	0.000	-536.500	NaN	-536.500	NaN	-536.500	NaN
-534.500	9898.000	-534.500	0.000	-534.500	-Inf	-534.500	-Inf	-534.500	-Inf
-532.500	9986.000	-532.500	0.000	-532.500	-Inf	-532.500	NaN	-532.500	-Inf
-530.500	9833.000	-530.500	0.000	-530.500	NaN	-530.500	NaN	-530.500	NaN
-528.500	9891.000	-528.500	0.000	-528.500	-Inf	-528.500	NaN	-528.500	NaN
-526.500	9869.000	-526.500	0.000	-526.500	-Inf	-526.500	-Inf	-526.500	-Inf
-524.500	9908.000	-524.500	0.000	-524.500	-Inf	-524.500	NaN	-524.500	NaN
-522.500	9937.000	-522.500	0.000	-522.500	-Inf	-522.500	-Inf	-522.500	NaN
-520.500	9868.000	-520.500	18.000	-520.500	NaN	-520.500	0.141	-520.500	NaN
-518.500	10067.000	-518.500	2.000	-518.500	NaN	-518.500	NaN	-518.500	NaN
-516.500	9912.000	-516.500	0.000	-516.500	-Inf	-516.500	NaN	-516.500	NaN
-514.500	9894.000	-514.500	0.000	-514.500	-Inf	-514.500	-Inf	-514.500	NaN
-512.500	9942.000	-512.500	0.000	-512.500	-Inf	-512.500	NaN	-512.500	NaN
-510.500	9970.000	-510.500	0.000	-510.500	NaN	-510.500	NaN	-510.500	NaN
-508.500	9860.000	-508.500	0.000	-508.500	-Inf	-508.500	-Inf	-508.500	NaN
-506.500	10244.000	-506.500	0.000	-506.500	-Inf	-506.500	-Inf	-506.500	NaN
-504.500	9925.000	-504.500	0.000	-504.500	-Inf	-504.500	NaN	-504.500	NaN
-502.500	9878.000	-502.500	0.000	-502.500	NaN	-502.500	NaN	-502.500	NaN
-500.500	9914.000	-500.500	0.000	-500.500	NaN	-500.500	NaN	-500.500	-Inf
-498.400	9866.000	-498.400	6.000	-498.400	0.477	-498.400	NaN	-498.400	-0.125
-496.400	9947.000	-496.400	0.000	-496.400	NaN	-496.400	NaN	-496.400	-Inf
-494.400	9873.000	-494.400	9.000	-494.400	NaN	-494.400	NaN	-494.400	NaN
-492.400	9904.000	-492.400	0.000	-492.400	-Inf	-492.400	NaN	-492.400	NaN
-490.400	9860.000	-490.400	0.000	-490.400	NaN	-490.400	NaN	-490.400	NaN
-488.400	9846.000	-488.400	0.000	-488.400	NaN	-488.400	NaN	-488.400	NaN
-486.400	9863.000	-486.400	0.000	-486.400	-Inf	-486.400	NaN	-486.400	NaN
-484.400	9904.000	-484.400	0.000	-484.400	-Inf	-484.400	NaN	-484.400	NaN
-482.400	9948.000	-482.400	0.000	-482.400	-Inf	-482.400	NaN	-482.400	NaN
-480.400	9857.000	-480.400	0.000	-480.400	NaN	-480.400	NaN	-480.400	NaN
-478.400	9845.000	-478.400	0.000	-478.400	-Inf	-478.400	NaN	-478.400	NaN
-476.400	9915.000	-476.400	0.000	-476.400	-Inf	-476.400	NaN	-476.400	NaN
-474.400	9828.000	-474.400	0.000	-474.400	-Inf	-474.400	-Inf	-474.400	NaN
-472.400	9858.000	-472.400	0.000	-472.400	NaN	-472.400	NaN	-472.400	NaN
-470.400	9897.000	-470.400	0.000	-470.400	-Inf	-470.400	NaN	-470.400	NaN
-468.400	9910.000	-468.400	0.000	-468.400	-Inf	-468.400	NaN	-468.400	NaN
-466.400	9837.000	-466.400	0.000	-466.400	-Inf	-466.400	NaN	-466.400	NaN
-464.400	9987.000	-464.400	0.000	-464.400	-Inf	-464.400	NaN	-464.400	NaN
-462.400	9825.000	-462.400	0.000	-462.400	-Inf	-462.400	-Inf	-462.400	NaN
-460.400	9978.000	-460.400	0.000	-460.400	NaN	-460.400	NaN	-460.400	NaN
-458.400	9825.000	-458.400	0.000	-458.400	NaN	-458.400	NaN	-458.400	NaN
-456.400	9806.000	-456.400	11.000	-456.400	NaN	-456.400	NaN	-456.400	NaN
-454.400	9841.000	-454.400	0.000	-454.400	NaN	-454.400	NaN	-454.400	NaN
-452.400	9820.000	-452.400	8.000	-452.400	NaN	-452.400	0.426	-452.400	NaN
-450.400	9980.000	-450.400	0.000	-450.400	NaN	-450.400	NaN	-450.400	NaN
-448.400	9854.000	-448.400	0.000	-448.400	NaN	-448.400	NaN	-448.400	-Inf
-446.400	9946.000	-446.400	0.000	-446.400	-Inf	-446.400	NaN	-446.400	NaN
-444.400	9940.000	-444.400	0.000	-444.400	NaN	-444.400	NaN	-444.400	NaN
-442.400	9881.000	-442.400	0.000	-442.400	-Inf	-442.400	-Inf	-442.400	NaN
-440.400	9917.000	-440.400	0.000	-440.400	-Inf	-440.400	NaN	-440.400	NaN
-438.400	9926.000	-438.400	0.000	-438.400	-Inf	-438.400	NaN	-438.400	NaN
-436.400	9893.000	-436.400	0.000	-436.400	-Inf	-436.400	NaN	-436.400	NaN
-434.400	9827.000	-434.400	0.000	-434.400	-Inf	-434.400	NaN	-434.400	NaN
-432.400	9882.000	-432.400	0.000	-432.400	NaN	-432.400	NaN	-432.400	NaN
-430.400	9905.000	-430.400	0.000	-430.400	-Inf	-430.400	-Inf	-430.400	NaN
-428.400	9948.000	-428.400	0.000	-428.400	-Inf	-428.400	NaN	-428.400	NaN
-426.400	9901.000	-426.400	0.000	-426.400	-Inf	-426.400	NaN	-426.400	NaN
-424.400	9881.000	-424.400	0.000	-424.400	-Inf	-424.400	NaN	-424.400	-Inf
-422.400	9817.000	-422.400	0.000	-422.400	NaN	-422.400	NaN	-422.400	NaN
-420.400	9907.000	-420.400	0.000	-420.400	-Inf	-420.400	NaN	-420.400	NaN
-418.400	9962.000	-418.400	0.000	-418.400	-Inf	-418.400	NaN	-418.400	-Inf
-416.400	9924.000	-416.400	0.000	-416.400	NaN	-416.400	-Inf	-416.400	NaN
-414.400	9868.000	-414.400	0.000	-414.400	-Inf	-414.400	-Inf	-414.400	NaN
-412.400	9959.000	-412.400	0.000	-412.400	-Inf	-412.400	NaN	-412.400	-Inf
-410.400	9872.000	-410.400	0.000	-410.400	-Inf	-410.400	NaN	-410.400	NaN
-408.400	9908.000	-408.400	0.000	-408.400	NaN	-408.400	NaN	-408.400	NaN
-406.400	9853.000	-406.400	0.000	-406.400	-Inf	-406.400	NaN	-406.400	NaN
-404.400	9874.000	-404.400	0.000	-404.400	NaN	-404.400	NaN	-404.400	NaN
-402.400	9974.000	-402.400	0.000	-402.400	NaN	-402.400	NaN	-402.400	-Inf
-400.400	9893.000	-400.400	0.000	-400.400	NaN	-400.400	NaN	-400.400	NaN
-398.400	9913.000	-398.400	0.000	-398.400	-Inf	-398.400	NaN	-398.400	NaN
-396.400	9884.000	-396.400	0.000	-396.400	NaN	-396.400	-Inf	-396.400	NaN
-394.400	9827.000	-394.400	0.000	-394.400	-Inf	-394.400	NaN	-394.400	NaN
-392.400	9914.000	-392.400	0.000	-392.400	-Inf	-392.400	NaN	-392.400	NaN
-390.400	9785.000	-390.400	0.000	-390.400	-Inf	-390.400	NaN	-390.400	-Inf
-388.400	9870.000	-388.400	0.000	-388.400	NaN	-388.400	NaN	-388.400	NaN
-386.400	9881.000	-386.400	0.000	-386.400	-Inf	-386.400	-Inf	-386.400	NaN
-384.400	9868.000	-384.400	0.000	-384.400	NaN	-384.400	NaN	-384.400	NaN
-382.400	9939.000	-382.400	0.000	-382.400	NaN	-382.400	NaN	-382.400	NaN
-380.400	9868.000	-380.400	0.000	-380.400	-Inf	-380.400	NaN	-380.400	-Inf
-378.400	9871.000	-378.400	0.000	-378.400	-Inf	-378.400	NaN	-378.400	NaN
-376.400	9920.000	-376.400	0.000	-376.400	-Inf	-376.400	NaN	-376.400	NaN
-374.400	9883.000	-374.400	0.000	-374.400	-Inf	-374.400	NaN	-374.400	NaN
-372.400	9975.000	-372.400	0.000	-372.400	-Inf	-372.400	NaN	-372.400	NaN
-370.400	9902.000	-370.400	0.000	-370.400	-Inf	-370.400	NaN	-370.400	NaN
-368.400	9944.000	-368.400	0.000	-368.400	-Inf	-368.400	NaN	-368.400	NaN
-366.400	9914.000	-366.400	0.000	-366.400	NaN	-366.400	NaN	-366.400	NaN
-364.400	9895.000	-364.400	0.000	-364.400	NaN	-364.400	-Inf	-364.400	NaN
-362.400	9834.000	-362.400	0.000	-362.400	-Inf	-362.400	-Inf	-362.400	NaN
-360.400	9978.000	-360.400	0.000	-360.400	-Inf	-360.400	NaN	-360.400	NaN
-358.400	9860.000	-358.400	0.000	-358.400	NaN	-358.400	NaN	-358.400	NaN
-356.400	9927.000	-356.400	0.000	-356.400	-Inf	-356.400	NaN	-356.400	NaN
-354.400	9874.000	-354.400	0.000	-354.400	-Inf	-354.400	NaN	-354.400	NaN
-352.400	9984.000	-352.400	0.000	-352.400	NaN	-352.400	NaN	-352.400	NaN
-350.400	9846.000	-350.400	0.000	-350.400	-Inf	-350.400	NaN	-350.400	NaN
-348.400	9885.000	-348.400	0.000	-348.400	-Inf	-348.400	NaN	-348.400	NaN
-346.400	9822.000	-346.400	0.000	-346.400	-Inf	-346.400	NaN	-346.400	NaN
-344.400	9901.000	-344.400	0.000	-344.400	NaN	-344.400	NaN	-344.400	NaN
-342.400	9854.000	-342.400	0.000	-342.400	-Inf	-342.400	-Inf	-342.400	NaN
-340.400	10028.000	-340.400	0.000	-340.400	-Inf	-340.400	-Inf	-340.400	NaN
-338.400	9781.000	-338.400	0.000	-338.400	NaN	-338.400	-Inf	-338.400	NaN
-336.400	9914.000	-336.400	0.000	-336.400	NaN	-336.400	NaN	-336.400	NaN
-334.400	9833.000	-334.400	0.000	-334.400	-Inf	-334.400	NaN	-334.400	NaN
-332.400	9939.000	-332.400	0.000	-332.400	-Inf	-332.400	NaN	-332.400	-Inf
-330.400	9871.000	-330.400	0.000	-330.400	-Inf	-330.400	NaN	-330.400	NaN
-328.400	9905.000	-328.400	0.000	-328.400	NaN	-328.400	NaN	-328.400	NaN
-326.400	9857.000	-326.400	0.000	-326.400	-Inf	-326.400	-Inf	-326.400	NaN
-324.400	9937.000	-324.400	0.000	-324.400	-Inf	-324.400	NaN	-324.400	NaN
-322.400	9893.000	-322.400	0.000	-322.400	-Inf	-322.400	NaN	-322.400	NaN
-320.500	9890.000	-320.500	0.000	-320.500	-Inf	-320.500	NaN	-320.500	NaN
-318.500	9886.000	-318.500	0.000	-318.500	NaN	-318.500	NaN	-318.500	-Inf
-316.500	10176.000	-316.500	0.000	-316.500	-Inf	-316.500	NaN	-316.500	NaN
-314.500	9871.000	-314.500	0.000	-314.500	-Inf	-314.500	-Inf	-314.500	NaN
-312.500	9873.000	-312.500	0.000	-312.500	NaN	-312.500	NaN	-312.500	NaN
-310.500	9829.000	-310.500	0.000	-310.500	NaN	-310.500	-Inf	-310.500	NaN
-308.500	10016.000	-308.500	0.000	-308.500	NaN	-308.500	NaN	-308.500	NaN
-306.500	9970.000	-306.500	0.000	-306.500	-Inf	-306.500	NaN	-306.500	-Inf
-304.500	9883.000	-304.500	0.000	-304.500	NaN	-304.500	NaN	-304.500	NaN
-302.500	9947.000	-302.500	0.000	-302.500	-Inf	-302.500	NaN	-302.500	NaN
-300.500	9891.000	-300.500	0.000	-300.500	NaN	-300.500	NaN	-300.500	NaN
-298.500	9869.000	-298.500	0.000	-298.500	-Inf	-298.500	NaN	-298.500	NaN
-296.500	9814.000	-296.500	0.000	-296.500	NaN	-296.500	NaN	-296.500	NaN
-294.500	9903.000	-294.500	0.000	-294.500	NaN	-294.500	NaN	-294.500	NaN
-292.500	9902.000	-292.500	0.000	-292.500	NaN	-292.500	-Inf	-292.500	NaN
-290.500	9929.000	-290.500	0.000	-290.500	-Inf	-290.500	NaN	-290.500	NaN
-288.500	9916.000	-288.500	0.000	-288.500	NaN	-288.500	NaN	-288.500	NaN
-286.500	9898.000	-286.500	0.000	-286.500	NaN	-286.500	-Inf	-286.500	NaN
-284.500	9850.000	-284.500	0.000	-284.500	-Inf	-284.500	-Inf	-284.500	NaN
-282.500	9885.000	-282.500	0.000	-282.500	NaN	-282.500	NaN	-282.500	NaN
-280.500	9908.000	-280.500	0.000	-280.500	-Inf	-280.500	-Inf	-280.500	NaN
-278.500	9869.000	-278.500	0.000	-278.500	-Inf	-278.500	NaN	-278.500	NaN
-276.500	9861.000	-276.500	0.000	-276.500	-Inf	-276.500	NaN	-276.500	NaN
-274.500	9834.000	-274.500	0.000	-274.500	-Inf	-274.500	NaN	-274.500	NaN
-272.500	9842.000	-272.500	0.000	-272.500	NaN	-272.500	NaN	-272.500	NaN
-270.500	9967.000	-270.500	0.000	-270.500	NaN	-270.500	NaN	-270.500	NaN
-268.500	9904.000	-268.500	0.000	-268.500	-Inf	-268.500	NaN	-268.500	NaN
-266.500	9866.000	-266.500	0.000	-266.500	-Inf	-266.500	NaN	-266.500	NaN
-264.500	9896.000	-264.500	0.000	-264.500	-Inf	-264.500	NaN	-264.500	NaN
-262.500	9869.000	-262.500	0.000	-262.500	-Inf	-262.500	NaN	-262.500	NaN
-260.500	9905.000	-260.500	0.000	-260.500	-Inf	-260.500	NaN	-260.500	-Inf
-258.500	9870.000	-258.500	0.000	-258.500	-Inf	-258.500	NaN	-258.500	NaN
-256.500	9905.000	-256.500	0.000	-256.500	-Inf	-256.500	NaN	-256.500	NaN
-254.500	9958.000	-254.500	0.000	-254.500	-Inf	-254.500	-Inf	-254.500	NaN
-252.500	9879.000	-252.500	0.000	-252.500	-Inf	-252.500	NaN	-252.500	NaN
-250.500	9839.000	-250.500	0.000	-250.500	-Inf	-250.500	NaN	-250.500	NaN
-248.500	9925.000	-248.500	0.000	-248.500	-Inf	-248.500	NaN	-248.500	NaN
-246.500	9840.000	-246.500	0.000	-246.500	NaN	-246.500	NaN	-246.500	NaN
-244.500	9893.000	-244.500	0.000	-244.500	-Inf	-244.500	NaN	-244.500	NaN
-242.500	9832.000	-242.500	0.000	-242.500	NaN	-242.500	-Inf	-242.500	NaN
-240.500	9897.000	-240.500	0.000	-240.500	NaN	-240.500	NaN	-240.500	NaN
-238.500	9872.000	-238.500	0.000	-238.500	-Inf	-238.500	NaN	-238.500	NaN
-236.500	9981.000	-236.500	0.000	-236.500	-Inf	-236.500	NaN	-236.500	NaN
-234.500	9852.000	-234.500	0.000	-234.500	-Inf	-234.500	NaN	-234.500	-Inf
-232.500	9868.000	-232.500	0.000	-232.500	-Inf	-232.500	NaN	-232.500	NaN
-230.500	9842.000	-230.500	0.000	-230.500	-Inf	-230.500	-Inf	-230.500	NaN
-228.500	9894.000	-228.500	0.000	-228.500	NaN	-228.500	NaN	-228.500	NaN
-226.500	9917.000	-226.500	0.000	-226.500	NaN	-226.500	NaN	-226.500	NaN
-224.500	9934.000	-224.500	0.000	-224.500	NaN	-224.500	NaN	-224.500	NaN
-222.500	9898.000	-222.500	0.000	-222.500	-Inf	-222.500	NaN	-222.500	NaN
-220.500	9961.000	-220.500	0.000	-220.500	NaN	-220.500	NaN	-220.500	NaN
-218.600	9803.000	-218.600	0.000	-218.600	NaN	-218.600	NaN	-218.600	-Inf
-216.600	9913.000	-216.600	0.000	-216.600	NaN	-216.600	-Inf	-216.600	NaN
-214.600	9801.000	-214.600	0.000	-214.600	-Inf	-214.600	-Inf	-214.600	NaN
-212.600	9903.000	-212.600	0.000	-212.600	-Inf	-212.600	NaN	-212.600	NaN
-210.600	9842.000	-210.600	0.000	-210.600	-Inf	-210.600	NaN	-210.600	-Inf
-208.600	9941.000	-208.600	0.000	-208.600	-Inf	-208.600	NaN	-208.600	NaN
-206.600	9943.000	-206.600	0.000	-206.600	NaN	-206.600	NaN	-206.600	NaN
-204.600	9980.000	-204.600	0.000	-204.600	-Inf	-204.600	NaN	-204.600	NaN
-202.600	9903.000	-202.600	0.000	-202.600	NaN	-202.600	NaN	-202.600	NaN
-200.600	9958.000	-200.600	0.000	-200.600	-Inf	-200.600	NaN	-200.600	NaN
-198.600	9898.000	-198.600	0.000	-198.600	-Inf	-198.600	NaN	-198.600	NaN
-196.600	9886.000	-196.600	0.000	-196.600	-Inf	-196.600	NaN	-196.600	NaN
-194.600	9818.000	-194.600	0.000	-194.600	NaN	-194.600	NaN	-194.600	-Inf
-192.600	9893.000	-192.600	0.000	-192.600	-Inf	-192.600	NaN	-192.600	NaN
-190.600	9866.000	-190.600	0.000	-190.600	NaN	-190.600	NaN	-190.600	NaN
-188.600	9910.000	-188.600	0.000	-188.600	NaN	-188.600	-Inf	-188.600	NaN
-186.600	9934.000	-186.600	0.000	-186.600	-Inf	-186.600	-Inf	-186.600	NaN
-184.600	9905.000	-184.600	0.000	-184.600	-Inf	-184.600	NaN	-184.600	NaN
-182.600	9845.000	-182.600	0.000	-182.600	-Inf	-182.600	NaN	-182.600	NaN
-180.600	9947.000	-180.600	0.000	-180.600	NaN	-180.600	NaN	-180.600	NaN
-178.600	9921.000	-178.600	0.000	-178.600	NaN	-178.600	-Inf	-178.600	NaN
-176.600	9855.000	-176.600	0.000	-176.600	-Inf	-176.600	NaN	-176.600	NaN
-174.600	9914.000	-174.600	0.000	-174.600	-Inf	-174.600	NaN	-174.600	NaN
-172.600	9877.000	-172.600	0.000	-172.600	NaN	-172.600	NaN	-172.600	NaN
-170.600	9905.000	-170.600	0.000	-170.600	-Inf	-170.600	NaN	-170.600	NaN
-168.600	9913.000	-168.600	0.000	-168.600	NaN	-168.600	NaN	-168.600	NaN
-166.600	9801.000	-166.600	0.000	-166.600	-Inf	-166.600	-Inf	-166.600	NaN
-164.600	9847.000	-164.600	0.000	-164.600	NaN	-164.600	NaN	-164.600	NaN
-162.600	9944.000	-162.600	0.000	-162.600	NaN	-162.600	NaN	-162.600	-Inf
-160.600	9926.000	-160.600	0.000	-160.600	NaN	-160.600	NaN	-160.600	-Inf
-158.600	9828.000	-158.600	0.000	-158.600	NaN	-158.600	NaN	-158.600	NaN
-156.600	9908.000	-156.600	0.000	-156.600	NaN	-156.600	NaN	-156.600	NaN
-154.700	9901.000	-154.700	0.000	-154.700	-Inf	-154.700	NaN	-154.700	NaN
-152.700	9919.000	-152.700	0.000	-152.700	NaN	-152.700	NaN	-152.700	NaN
-150.700	9792.000	-150.700	0.000	-150.700	NaN	-150.700	NaN	-150.700	NaN
-148.700	9915.000	-148.700	0.000	-148.700	-Inf	-148.700	NaN	-148.700	NaN
-146.700	9858.000	-146.700	0.000	-146.700	-Inf	-146.700	NaN	-146.700	NaN
-144.700	9891.000	-144.700	0.000	-144.700	-Inf	-144.700	NaN	-144.700	NaN
-142.700	9839.000	-142.700	0.000	-142.700	NaN	-142.700	NaN	-142.700	-Inf
-140.700	9930.000	-140.700	0.000	-140.700	-Inf	-140.700	NaN	-140.700	-Inf
-138.700	9866.000	-138.700	0.000	-138.700	NaN	-138.700	NaN	-138.700	-Inf
-136.700	9952.000	-136.700	0.000	-136.700	-Inf	-136.700	NaN	-136.700	-Inf
-134.700	9937.000	-134.700	0.000	-134.700	-Inf	-134.700	NaN	-134.700	-Inf
-132.700	9861.000	-132.700	0.000	-132.700	NaN	-132.700	NaN	-132.700	NaN
-130.700	9898.000	-130.700	0.000	-130.700	NaN	-130.700	NaN	-130.700	NaN
-128.700	9909.000	-128.700	0.000	-128.700	NaN	-128.700	NaN	-128.700	NaN
-126.700	9927.000	-126.700	0.000	-126.700	-Inf	-126.700	NaN	-126.700	NaN
-124.700	9818.000	-124.700	0.000	-124.700	-Inf	-124.700	-Inf	-124.700	NaN
-122.700	9847.000	-122.700	0.000	-122.700	NaN	-122.700	NaN	-122.700	NaN
-120.700	9804.000	-120.700	0.000	-120.700	-Inf	-120.700	NaN	-120.700	NaN
-118.700	9802.000	-118.700	0.000	-118.700	-Inf	-118.700	NaN	-118.700	-Inf
-116.700	9913.000	-116.700	0.000	-116.700	-Inf	-116.700	-Inf	-116.700	-Inf
-114.700	9847.000	-114.700	0.000	-114.700	-Inf	-114.700	-Inf	-114.700	NaN
