Wavelength (nm)	Dark	Wavelength (nm)	Reference	Wavelength (nm)	Sample 1 - 08.11.2019-11:35:13	Wavelength (nm)	Sample 2 - 08.11.2019-11:40:21	Wavelength (nm)	Sample 3 - 08.11.2019-11:45:29
-1130.200	9760.000	-1130.200	0.000	-1130.200	NaN	-1130.200	NaN	-1130.200	NaN
-1128.200	9791.000	-1128.200	0.000	-1128.200	-Inf	-1128.200	NaN	-1128.200	NaN
-1126.200	9777.000	-1126.200	0.000	-1126.200	-Inf	-1126.200	NaN	-1126.200	NaN
-1124.200	9811.000	-1124.200	0.000	-1124.200	-Inf	-1124.200	-Inf	-1124.200	NaN
-1122.200	9790.000	-1122.200	0.000	-1122.200	NaN	-1122.200	-Inf	-1122.200	-Inf
-1120.200	9792.000	-1120.200	0.000	-1120.200	-Inf	-1120.200	NaN	-1120.200	NaN
-1118.200	9816.000	-1118.200	0.000	-1118.200	-Inf	-1118.200	NaN	-1118.200	-Inf
-1116.200	9858.000	-1116.200	0.000	-1116.200	-Inf	-1116.200	-Inf	-1116.200	NaN
-1114.100	9815.000	-1114.100	0.000	-1114.100	-Inf	-1114.100	NaN	-1114.100	-Inf
-1112.100	9873.000	-1112.100	0.000	-1112.100	NaN	-1112.100	NaN	-1112.100	NaN
-1110.100	9783.000	-1110.100	0.000	-1110.100	-Inf	-1110.100	NaN	-1110.100	-Inf
-1108.100	9854.000	-1108.100	0.000	-1108.100	-Inf	-1108.100	NaN	-1108.100	NaN
-1106.100	9820.000	-1106.100	0.000	-1106.100	NaN	-1106.100	NaN	-1106.100	NaN
-1104.100	9845.000	-1104.100	0.000	-1104.100	-Inf	-1104.100	NaN	-1104.100	-Inf
-1102.100	9789.000	-1102.100	3.000	-1102.100	NaN	-1102.100	NaN	-1102.100	NaN
-1100.100	9806.000	-1100.100	0.000	-1100.100	-Inf	-1100.100	NaN	-1100.100	NaN
-1098.100	9770.000	-1098.100	0.000	-1098.100	-Inf	-1098.100	NaN	-1098.100	NaN
-1096.100	9837.000	-1096.100	0.000	-1096.100	NaN	-1096.100	NaN	-1096.100	-Inf
-1094.000	9795.000	-1094.000	0.000	-1094.000	NaN	-1094.000	NaN	-1094.000	NaN
-1092.000	9775.000	-1092.000	0.000	-1092.000	-Inf	-1092.000	NaN	-1092.000	NaN
-1090.000	9717.000	-1090.000	4.000	-1090.000	-0.677	-1090.000	NaN	-1090.000	NaN
-1088.000	9864.000	-1088.000	0.000	-1088.000	-Inf	-1088.000	NaN	-1088.000	NaN
-1086.000	9819.000	-1086.000	0.000	-1086.000	NaN	-1086.000	NaN	-1086.000	NaN
-1084.000	9816.000	-1084.000	0.000	-1084.000	NaN	-1084.000	NaN	-1084.000	-Inf
-1082.000	9852.000	-1082.000	0.000	-1082.000	-Inf	-1082.000	NaN	-1082.000	NaN
-1080.000	9882.000	-1080.000	0.000	-1080.000	-Inf	-1080.000	-Inf	-1080.000	NaN
-1078.000	9869.000	-1078.000	2.000	-1078.000	-0.813	-1078.000	NaN	-1078.000	NaN
-1076.000	9783.000	-1076.000	0.000	-1076.000	-Inf	-1076.000	NaN	-1076.000	NaN
-1074.000	9838.000	-1074.000	0.000	-1074.000	-Inf	-1074.000	NaN	-1074.000	NaN
-1071.900	9829.000	-1071.900	0.000	-1071.900	-Inf	-1071.900	NaN	-1071.900	NaN
-1069.900	9820.000	-1069.900	0.000	-1069.900	-Inf	-1069.900	NaN	-1069.900	NaN
-1067.900	9856.000	-1067.900	0.000	-1067.900	NaN	-1067.900	NaN	-1067.900	NaN
-1065.900	9876.000	-1065.900	0.000	-1065.900	-Inf	-1065.900	NaN	-1065.900	-Inf
-1063.900	9817.000	-1063.900	0.000	-1063.900	-Inf	-1063.900	NaN	-1063.900	NaN
-1061.900	9871.000	-1061.900	0.000	-1061.900	NaN	-1061.900	NaN	-1061.900	NaN
-1059.900	9871.000	-1059.900	0.000	-1059.900	-Inf	-1059.900	NaN	-1059.900	NaN
-1057.900	9831.000	-1057.900	0.000	-1057.900	NaN	-1057.900	NaN	-1057.900	NaN
-1055.900	9828.000	-1055.900	0.000	-1055.900	-Inf	-1055.900	NaN	-1055.900	NaN
-1053.900	9914.000	-1053.900	0.000	-1053.900	-Inf	-1053.900	NaN	-1053.900	-Inf
-1051.900	9838.000	-1051.900	0.000	-1051.900	-Inf	-1051.900	NaN	-1051.900	NaN
-1049.800	9853.000	-1049.800	0.000	-1049.800	-Inf	-1049.800	NaN	-1049.800	NaN
-1047.800	9824.000	-1047.800	0.000	-1047.800	-Inf	-1047.800	NaN	-1047.800	NaN
-1045.800	9868.000	-1045.800	0.000	-1045.800	NaN	-1045.800	NaN	-1045.800	NaN
-1043.800	9833.000	-1043.800	0.000	-1043.800	-Inf	-1043.800	-Inf	-1043.800	NaN
-1041.800	9788.000	-1041.800	0.000	-1041.800	NaN	-1041.800	NaN	-1041.800	-Inf
-1039.800	9873.000	-1039.800	0.000	-1039.800	-Inf	-1039.800	-Inf	-1039.800	NaN
-1037.800	9868.000	-1037.800	0.000	-1037.800	NaN	-1037.800	NaN	-1037.800	NaN
-1035.800	9903.000	-1035.800	0.000	-1035.800	-Inf	-1035.800	NaN	-1035.800	-Inf
-1033.800	9865.000	-1033.800	0.000	-1033.800	NaN	-1033.800	NaN	-1033.800	NaN
-1031.800	9789.000	-1031.800	0.000	-1031.800	-Inf	-1031.800	NaN	-1031.800	NaN
-1029.800	9820.000	-1029.800	9.000	-1029.800	NaN	-1029.800	NaN	-1029.800	NaN
-1027.700	9845.000	-1027.700	0.000	-1027.700	NaN	-1027.700	-Inf	-1027.700	NaN
-1025.700	9867.000	-1025.700	0.000	-1025.700	-Inf	-1025.700	-Inf	-1025.700	NaN
-1023.700	9892.000	-1023.700	0.000	-1023.700	NaN	-1023.700	NaN	-1023.700	NaN
-1021.700	9917.000	-1021.700	0.000	-1021.700	-Inf	-1021.700	NaN	-1021.700	NaN
-1019.700	9866.000	-1019.700	0.000	-1019.700	NaN	-1019.700	NaN	-1019.700	-Inf
-1017.700	9831.000	-1017.700	0.000	-1017.700	-Inf	-1017.700	NaN	-1017.700	NaN
-1015.700	9807.000	-1015.700	0.000	-1015.700	-Inf	-1015.700	NaN	-1015.700	-Inf
-1013.700	9928.000	-1013.700	0.000	-1013.700	NaN	-1013.700	NaN	-1013.700	NaN
-1011.700	9845.000	-1011.700	0.000	-1011.700	-Inf	-1011.700	NaN	-1011.700	NaN
-1009.700	9746.000	-1009.700	0.000	-1009.700	-Inf	-1009.700	NaN	-1009.700	NaN
-1007.700	9777.000	-1007.700	0.000	-1007.700	-Inf	-1007.700	-Inf	-1007.700	NaN
-1005.700	9866.000	-1005.700	0.000	-1005.700	NaN	-1005.700	NaN	-1005.700	NaN
-1003.600	9880.000	-1003.600	0.000	-1003.600	-Inf	-1003.600	NaN	-1003.600	NaN
-1001.600	9900.000	-1001.600	0.000	-1001.600	-Inf	-1001.600	NaN	-1001.600	NaN
-999.600	9887.000	-999.600	0.000	-999.600	NaN	-999.600	NaN	-999.600	NaN
-997.600	9960.000	-997.600	0.000	-997.600	NaN	-997.600	NaN	-997.600	NaN
-995.600	9831.000	-995.600	0.000	-995.600	NaN	-995.600	-Inf	-995.600	NaN
-993.600	9913.000	-993.600	0.000	-993.600	-Inf	-993.600	NaN	-993.600	NaN
-991.600	9852.000	-991.600	0.000	-991.600	-Inf	-991.600	NaN	-991.600	NaN
